city	dialect	source	target
Cairo	Egyptian	فين البار؟	أين البار ؟
Doha	Emirati	اكا انواع مختلفة.	هاك بعض أنواع مختلفة .
Jerusalem	Palestinian	فهمت.	أين يمكنني أن أركب الأوتوبيس المتوجه إلى متحف ميتروبوليتان ؟
Cairo	Egyptian	احنا اتنين، فممكن ناخد اللارج؟	يوجد اثنان منا ، لذلك هل لنا أن نحصل على المقاس الكبير ؟
Doha	Emirati	الحين احنا صوب سيدني، طريق اثنين وثلاثين.	نحن الآن بالقرب من سيدني ، طريق اثنين وثلاثين .
Doha	Emirati	اكلم الشيف حق الشرح؟	هل استدعي الطاهي لشرحها ؟
Cairo	Egyptian	ممكن تخرجي معايا في ميعاد رومانسي؟	هل ستحدد موعداً للخروج معي ؟
Cairo	Egyptian	ده لطف منك إنك تسبنى افضل هنا.	إنه لكرم منك أن تدعني أمكث هنا .
Cairo	Egyptian	منتجاتنا أخف وأصغر أي منتجات تانية، ده غير إنها بتتكلف تمانية في المية بس زيادة.	إن منتجنا أخف وزناً وأصغر حجماً من منتجات منافسينا ، ولكنه مع ذلك لا يزيد في سعره عنها سوى ثمانية في المائة .
Doha	Emirati	هالرجال باق شنطتي.	لقد سرق ذلك الرجل كيس نقودي .
Cairo	Egyptian	ممكن اني اخد الوجبه بعد ما انام؟	هل من الممكن أن أتناول الوجبة بعد أن أنام ؟
Cairo	Egyptian	جواز سفري اتسرق و معاه سبعين دولار .	سُرق جواز سفري مع سبعين دولارا .
Cairo	Egyptian	ممكن أشوف الحاجات اللي كنت شايلها معاك؟	هل يمكنني أن أفحص بمنقولاتي الثمينة معك ؟
Doha	Emirati	في هوكايدو، ما تقدر تلعب قولف لمدة ست شهور تقريباً بسبة الجو البارد.	في هوكايدو ، لا يمكنك أن تلعب جوف حوالي ستة أشهر لأن مناخها بارد .
Aswan	Egyptian	كل الكمية المطلوبة متين تلاتة واربعين جنيه، يا مدام.	لا أحتاج أي شيء .
Aswan	Egyptian	العروض دى قوية؟	كيف ومتي يجب أن أدفع النفقات ؟
Amman	Jordanian	أنا إنحبست جوا. بتقدر تفتحلي الباب، لو سمحت.	هل أنا بحاجة للعودة فورا إلى اليابان ؟
Doha	Emirati	شلون اروح ديزني لاند؟	كيف يمكنني الذهاب إلى ديزني لاند ؟
Doha	Emirati	ان شاء الله اشوفك مرة ثانية.	أرجو أن أراك ثانية .
Cairo	Egyptian	لفندق كونتينيتال، من فضلك .	إلى فندق الكونتيننتال ، من فضلك .
Cairo	Egyptian	ديه حاجة عظيمة . أشكرك .	كان عظيماً . شكراً .
Cairo	Egyptian	من الساعة تلاته.	من الساعة الثالثة .
Cairo	Egyptian	تكلفة الاكسبريس زيادة اد ايه؟	كم ثمن الأجرة الإضافية للقطار السريع ؟
Cairo	Egyptian	ده كويس خالص . دلوقتي دور الاسئلة، من فضلكم .	هذا جيد للغاية . والآن الأسئلة ، من فضلك .
Cairo	Egyptian	ده الشباك المناسب؟	هل هذه هي النافذة الصحيحة ؟
Jerusalem	Palestinian	وين أقرب محل أجهزة؟	بطاقة الائتمان الخاصة بي لم تخرج من ماكينة الصرف الآلية .
Doha	Emirati	كم تحسب على الشحن؟	كم تطلب للشحن ؟
Cairo	Egyptian	امتى حيفتح و امتى حيقفل؟	متى تفتح ومتى تقفل ؟
Doha	Emirati	يصير نخيم في ارضك؟	هل يمكننا أن نخيم فوق أرضكم ؟
Doha	Emirati	شنو أحلى شي هني؟	ما هو المشكلة الرئيسية في هذا المحيط ؟
Cairo	Egyptian	حتديني خصم قد إيه؟	ما مقدار الخصم الذي ستقدمه لي ؟
Alexandria	Egyptian	أقدر أشترى هدايا تذكارية منين؟	لدينا قهوة ، شاي ، عصير برتقال ، وما إلى ذلك . ماذا تحب ؟
Cairo	Egyptian	إحنا رايحين خارجين برة بس عشان نعمل شوبينج.	سنخرج للتسوق حالا .
Alexandria	Egyptian	بكام تذكرة درجة أولى لإيدينبره، لو سمحت؟	من فضلك أعطني خصماً .
Aswan	Egyptian	إشحن البطارية، لو سمحت.	خمسون سنتاً للكلمة . إنه أغلى مما توقعت .
Cairo	Egyptian	إحنا واحد من أهم الموزعين للكمبيوتر الدقيق.	نحن من أكبر موردي أجهزة الميكروكومبيوتر .
Salt	Jordanian	انت امريكي؟	تفضل كرسي وخذ راحتك . هل أتي لك بشيء لتشربه ؟ قهوة ، شاي أم صودا ؟
Doha	Emirati	الشوربة طعمها قوي.	مذاق هذا الحساء قوي .
Cairo	Egyptian	انا مش متأكد الموضوع ده هايبقى ازاي ف أمريكا.	لا أدري ماذا سيكون عليه الحال في أمريكا .
Doha	Emirati	مسا الخير. مرحبا.	مساء الخير . أهلا .
Cairo	Egyptian	ممكن تصلح الكاميرا ديه؟ مش بتشتغل كويس .	هل من الممكن أن تصلح هذه الكاميرا ؟ إنها لا تسحب بشكل جيد .
Doha	Emirati	اوه، هذا اللي ابغي اسويه الحين. واحد، اثنين، انام.	آه ، هذا ما أريد أن أقوم به الآن . واحد , اثنان ، نم .
Cairo	Egyptian	هو مالح سنة، بس حبيته. إنت جبيته معاك طول الطريق من اليابان؟	إنها مالحة قليلا , لكنني أحبها . هل أحضرتها معك طوال الطريق من اليابان ؟
Jerusalem	Palestinian	يا بتصلحو يا بتبدلو، لو سمحت.	فقدت حقيبتي .
Cairo	Egyptian	عايز أعمل مكالمة لطوكيو.	أريد إجراء مكالمة لطوكيو .
Salt	Jordanian	خلي تسريحتي لتحت، لو سمحت.	هل يمكنك أن تخبرني كيف أذهب إلى هناك ؟
Doha	Emirati	ما عندك شي اكبر؟	هل يوجد لديكم حجم أكبر ؟
Cairo	Egyptian	طيب ممكن ترشحلي مطعم معقول يكون قريب؟ وتوريني ع الخريطة دي؟	من فضلك زكّ لنا مطعما قريبا مناسبا , وحدده فوق الخريطة .
Doha	Emirati	دوا معدة، لو سمحت.	دواءً للمعدة , من فضلك .
Cairo	Egyptian	اد ايه الفايدة؟	كم السعر ؟
Alexandria	Egyptian	ممكن تتكلم بصوت أعلى شوية، من فضلك؟	أحب الجاكت الخاص بك .
Cairo	Egyptian	أول مكان غطس النهاردة هو واحد من أشهر المنحدرات في هاواي.	يعتبر أول مواقع للغوص اليوم واحدا من أكثر المنحدرات شهرة في هاواي .
Doha	Emirati	ينتهي تسعطعش مارس ألف وتسعمية وتسعة وتسعين.	تاريخ الانتهاء تسعة عشر من مارس تسعة وتسعين .
Cairo	Egyptian	انت عارف ان واحد من اكبر الابطال في السومو، اللي هى نوع من المصارعة على الطريقة اليابانيه، اميركي؟	هل تعلم أن أحد أكبر بطولات السومو ، نوع من المصارعة اليابانية التقليدية ، بطولة أمريكية ؟
Cairo	Egyptian	دول خمسة وتمانين سنت. ما تنساش تحول لما تركب، مش هتحتاج تدفع تاني لما تغير الأتوبيسات.	ثمنها خمس وثمانون سنتاً . لا تنس أن تحصل على تذكرة التغيير من حافلة لأخرى عند الركوب , حتى لا تكون بحاجة لأن تدفع مرة أخرى حينما تغير بين الحافلات .
Doha	Emirati	خلني افكر. بجيك محلات ثانية.	دعني أفكر فيها . سوف أتحقق في بعض المتاجر الأخرى .
Doha	Emirati	ممكن تعدل لي كعب هالجوتي؟	هل يمكن أن تصلح كعب هذا الحذاء لي ؟
Cairo	Egyptian	سدادة البانيو مكسورة .	إن محبس حوض الاستحمام مكسور .
Cairo	Egyptian	فين الكرسي بتاعي، من فضلك ؟	أين مقعدي ، من فضلك ؟
Cairo	Egyptian	ده مش غلطتي، ما تقدرش تظبط الموضوع؟	هذا ليس خطئي . ألا يمكنك أن تقوم بأي ترتيب ؟
Aswan	Egyptian	الصنايعي هيطلعلك على طول.	من فضلك . دُلني على مطعم معقول يهيئ جواً جميلا .
Cairo	Egyptian	حأكون جاهز بعد بكرة بليل .	سيكون جاهزا بعد غد في المساء .
Cairo	Egyptian	أنا ببص بس، شكرا ليك.	إني أنظر فحسب . شكراً .
Jerusalem	Palestinian	انتبه، السقف واطي.	أفهم , لدينا طبيبة فى الفندق . سأرتب معها لتحضر إلى غرفتك . هل من الممكن أن يحضر مدير الغرف أيضاً ؟
Doha	Emirati	اسحب من بطاقتي، لو سمحت. ماستر كارد.	"اخصم تكلفتها من بطاقة ائتماني من فضلك ، ونوعها "" ماستر كارد "" ."
Jerusalem	Palestinian	في مطعم بتنصح فيه قريب من هون؟	لا ، شكراً . من الأفضل أن لا أشرب المزيد .
Doha	Emirati	اسمح لي، بس في أي تقاطع احنا الحين؟	عذراً ، ولكن في أي تقاطع نحن الآن ؟
Doha	Emirati	ممكن تعطيني وصفة؟	هل يمكن أن تعطني وصفة طبية ؟
Doha	Emirati	ابغي دراي شامبو.	أريد شامبو جاف .
Cairo	Egyptian	أوه، أيوة. أنا عندي. أنا بحبه.	نعم . جربت ذلك . وأحبه كثيراً .
Cairo	Egyptian	ده بيشمل الاكل؟	هل هذا يشمل الوجبات ؟
Doha	Emirati	ممكن تملي هالاستمارة؟	هل تستطيع ملء النموذج ؟
Cairo	Egyptian	الصيدلية فين؟	أين الصيدلية ؟
Aswan	Egyptian	هشوف ايه في الجولة دي؟	أين البار ؟
Cairo	Egyptian	ركبت الباص للغلط.	لقد أخذت الأتوبيس الخطأ .
Cairo	Egyptian	إنت مقولتش كده. إنت بتحملني فوق طاقتي.	إنك لم تقل هذا . أنت تبالغ في السعر الذي تتقاضاه مني .
Doha	Emirati	ممكن أأجر سيارة؟	هل لي أن أؤجر سيارة ؟
Doha	Emirati	انزين، تخيل الوقت اللي بياخذه لو سأل كل شخص سؤال اضافي. يالله، بسرعة خل ناخذ شناطنا. لازم نروح حق اجراءات الجمارك عقب.	حسنا ، تصور كيف ستطول فترة عمله لو سأل سؤالاً آخر لكل شخص . هيا بنا ، لنسرع ونحضر حقائبنا . علينا الذهاب إلى الجمارك للإعلان عن أغراضنا بعد ذلك .
Salt	Jordanian	اه، عنا حجز الك .	لقط للتأكيد ، إعطني رقم المسئول .
Doha	Emirati	غرفتي واجد باردة.	غرفتي أبرد من اللازم .
Salt	Jordanian	ما حبيت بالمرة .	آه لا , إنه يقول لي شيئا ما ، ماذا ينبغي أن أفعل ؟
Alexandria	Egyptian	ممكن لو سمحت تمررلى الملح؟	أنا جئت من طوكيو .
Doha	Emirati	اسم الشخص اللي تبغي تكلمه ورقمه، لو سمحت.	اسم مجموعتك السياحية ورقمها ، من فضلك .
Doha	Emirati	اوه، معاك حق. هذي واجد زين. اكيد بيرجع هني بكرة.	اوه ، أنت على حق . هذا جيد حقاً . سأتأكد و أعود مرة أخرى غداً .
Cairo	Egyptian	ايه رأيك تشرب معايا حاجه؟	هلاّ شاركتني الشراب ؟
Cairo	Egyptian	ممكن تقولي إيه الأماكن المهمة هنا؟	هل يمكن أن تخبرني عن الأماكن الشيقة هنا ؟
Doha	Emirati	كرسي يم الديشة، لو سمحت.	مقعدا بجوار النافذة ، من فضلك .
Doha	Emirati	انا آخذ هالدوا كل ست ساعات.	أتناول هذا الدواء كل ست ساعات .
Cairo	Egyptian	ممكن تبلغني لما تلاقي شنطتك الضايعة ؟	هل من الممكن أن تخبرني عندما تعقروا علي الحقيبة الضائعة ؟
Cairo	Egyptian	حنخلي ده مفاجأة.	سنحتفظ بهذا الأمر كمفاجأة .
Doha	Emirati	بتسعة وتسعين دولار مع الضرايب في الليلة.	السعر تسعة تسعون دولار بالإضافة إلى الضريبة في الليلة .
Doha	Emirati	هذي ذهب؟	أهذا ذهب ؟
Salt	Jordanian	ما بتقدر تضل هون بالعطلة؟	من فضلك تعهد هذه الأمتعة حتى الساعة الثالثة .
Doha	Emirati	ممكن تحصل لي كرسي على رحلة بكرة، لو سمحت؟	هل يمكنك أن تجد لي مقعداً في رحلة طيران غدا من فضلك ؟
Doha	Emirati	لو سمحت كلم شرطي.	من فضلك استدعي رجل شرطة .
Doha	Emirati	بغيت اخذ جولة في المكسيك لمدة اسبوع.	أريد أن أقوم بجولة لمكسيكو لمدة أسبوع .
Doha	Emirati	فيني حساسية في خشمي.	أعاني من حمى القش .
Doha	Emirati	افضل غرفة خلفية. عادةً يكونون أهدى.	كنتُ أفضل غرفة خلفية . فهي عادة تكون أكثر هدوءاً .
Aswan	Egyptian	مايومي، ممكن تملى الورقة دي وتوقعها؟	أود أن أحجز غرفة لهذه الليلة .
Cairo	Egyptian	كرسي واحد في المنطقة العامة، من فضلك .	مقعد دخول واحد من فضلك .
Cairo	Egyptian	الاسم سوزوكي .	الاسم سوزوكي .
Cairo	Egyptian	ديه تذكرتي .	هذه تذكرتي .
Doha	Emirati	امس، شريت هذي وهو خراب.	أمس ، اشتريت هذه وكسرت .
Cairo	Egyptian	تقدر تشوف المبنى الابيض؟ ده قدام المبنى .	هل ترى مبنىً أبيض ؟ إنه أمام المبنى .
Doha	Emirati	لو سمحت اخرد لي هالعشرة دولار خلها خمس انواط دولار واحد ونوط واحد خمسة دولار.	من فضلك اصرف ورقة فئة عشرة دولارات هذه إلى خمسة ورقات فئة دولار وورقة أخرى فئة خمسة دولارات .
Doha	Emirati	ممكن تنزل السرج، لو سمحت؟	هل يمكن أن تنزل السرج ، من فضلك ؟
Cairo	Egyptian	عايزة كريم ايد .	أريد بعض كريم اليد .
Doha	Emirati	ممكن اطلب كاس واين؟	هل يمكن أن أطلب كأس نبيذ ؟
Cairo	Egyptian	عايز أعمل حجز الساعة تلاته و نص العصر .	أريد القيام بحجز للساعة الثالثة والنصف ظهراُ .
Cairo	Egyptian	في اخر الطرقة .	في نهاية الممر .
Jerusalem	Palestinian	هاي هدية. بتقدر تلفها بلفة هدية حلوة؟	هل من الممكن أن أحجز في جولة سياحية استطلاعية ؟
Cairo	Egyptian	أحسن تقعد وتاخد نفسك بعد رحلتك الطويلة من اليابان.	من الأفضل أن تجلس وتلتقط أنفاسك بعد رحلتك الطويلة من اليابان .
Alexandria	Egyptian	ممكن تكتب عنوان الاتصال بتاعك هنا؟	لطيف منك جداً أن تأتي إلى اليابان .
Doha	Emirati	انقفل علي الباب. ممكن اخذ المفتاح السبير، لو سمحت؟	لقد أغلقت الغرفة وأنا خارجها . هل تسمح لي باستعارة نسخة أخرى من المفتاح ، لطفاً ؟
Doha	Emirati	ابغي تشكيلة من لحم الخنزير.	أود خليط من لحم الخنزير .
Cairo	Egyptian	تمام، الاتنين عاجبني .	حسنا ، أنا يعجبني كلاهما .
Cairo	Egyptian	واحد بس دلوقتي.	واحدة فقط الآن .
Doha	Emirati	هذي المفتاح وهذي العقد.	هاهو المفتاح وهاهو العقد .
Cairo	Egyptian	انا اسف اني غلطت . تحب نوع سكوتش ايه؟	أنا آسف لقد أخطأت . ما هو نوع السكوتش الذي تحبه ؟
Aswan	Egyptian	كنت عايز اقعد في الاوضة دي ليلة كمان.	هل هذا للسيدات أم للرجال ؟
Alexandria	Egyptian	أنا عاوز فلوس ورق.	للدراسة .
Cairo	Egyptian	عايز مسجل كاسيت، لو سمحت.	أريد جهاز تسجيل وراديو من فضلك .
Doha	Emirati	عاد عطني السعر عقب المكالمة.	من فضلك أخبرني بالحساب بعد المكالمة .
Amman	Jordanian	في مستشفى قريب من هون؟	تعد اليابان سابع دولة في العالم من حيث عدد السكان .
Salt	Jordanian	لازم اجي على المستشفى كل يوم؟	قسها ، من فضلك .
Amman	Jordanian	طيب، غرفتك هي تسعة صفر تمنية، يا آنسة. هي مفتاحك.	من فضلك اصرف هذا الشيك السياحي .
Aswan	Egyptian	انا حاسس اني تعبان.	لا ، ولكن لدينا سيارة جديدة صغيرة كبديل . الحمراء هناك .
Jerusalem	Palestinian	كيف بتحب تاخد مصاريك؟ لو سمحت عبي هاي الورقة ووقع هون.	هل لي ببطاقة تعويضية عن إلغاء الحفلة أو المباراة بسبب الأمطار ؟
Doha	Emirati	هي كاميرا كانون عدسة مفردة عاكسة.	إنها كاميرا كانون بعدسة مفردة عاكسة .
Amman	Jordanian	ممكن تاخد هاد، لو سمحت؟	من فضلك اعمل مكالمة تتحصل على ثمنها من المطلوب .
Doha	Emirati	من وين تتصل؟	من أين تتصل ؟
Salt	Jordanian	بقدر اخذ خريطة لجولة المدينة؟	هل من السهل على ولد عمره عامان أن يلعب ؟
Salt	Jordanian	اي باص بيروح على ميامي؟	هل يناسبك الثلاثاء القادم ؟
Alexandria	Egyptian	أنا عاوز أروح من نيويورك لتورنتو.	هيا ، أعطني مقدار أفضل .
Doha	Emirati	بأي ألوان ثانية تجي هالشفر؟	ما هي الألوان الأخرى المتاحة للسيارات الشيفرولية ؟
Doha	Emirati	وين اقدر آخذ التذكرة؟	من أين يمكنني الحصول على التذكرة ؟
Doha	Emirati	لازم نلتقي مع بعض مرة ثانية قريب.	سنضطر أن نجتمع معاً مرة أخرى قريباً .
Doha	Emirati	وين المكان اللي يتجمع فيه الشباب؟	هلا دللتني على مكان يتجمع في الكثير من الشباب ؟
Doha	Emirati	لا تحاتي. بنعلن عنه.	لا تقلق . سنعلنها .
Cairo	Egyptian	هو لا كويس ولا وحش.	إنه ليس بالصالح ولا بالطالح .
Salt	Jordanian	هي فاتورتك. ثلاثمية وسبعة وتسعين دولار.	هل لك أن تريني كيف تعمل فتاحة العلب الكهربائية هذه ؟
Cairo	Egyptian	ممكن تشبكلي السوتيان من ورا؟	هل تمانع في شد حملاتي من الخلف ؟
Cairo	Egyptian	ممكن لو سمحت تخلي الشنط عندك ساعتين كمان؟	هل يمكن من فضلك أن تحفظ حقائبي لساعتين أخريين ؟
Cairo	Egyptian	انا اتعودت على كده . و مازلت اعمل ده كل وقت علشان اخلي ايديا شغالة .	لقد اعتدت على ذلك . لا زلت أفعل ذلك من حين لآخر كي أحافظ على مهارتي .
Doha	Emirati	في حمام قريب؟	هل ثمة حمام قريب ؟
Doha	Emirati	اوكي. معاك اي نباتات او اكل؟	حسنا . هل تحمل أي نباتات أو أطعمة ؟
Cairo	Egyptian	تحب تخرج تاكل معايا؟	هل تريد أن تأكل في الخارج معي ؟
Cairo	Egyptian	لو سمحت اتأكد إنك جاي وحتشوفني بكرة على سبعة الصبح.	من فضلك تأكد من حضورك ورؤيتك لي في تمام السابعة صباح غد .
Doha	Emirati	ماقدر ابول، وفيني ألم تحت بطني.	لا أستطيع التبول وعندي ألم في الجزء السفلي من البطن .
Doha	Emirati	عطني غرشة صغيرة منه.	أعطني زجاجة صغيرة منها .
Alexandria	Egyptian	أنا ضيعت الشيك السياحى بتاعى.	هل هذا هو صفر صفر صفر صفر صفر صفر صفر صفر صفر صفر ؟
Cairo	Egyptian	تمام. آدي عشرين، أربعين، ستين، تمنين، تسعين، خمسة وتسعون، ستة، سبعة، تمنية، تسعة، مية.	حسناً . إنها عشرون ، أربعون ، ستون ، ثمانون ، تسعون ، خمسة وتسعون ، ستة ، سبعة ، ثمانية ، تسعة ، مائة .
Doha	Emirati	اذا عندك ين ياباني، بغيتك تعطيني منه الباقي.	إذا كان لديك ين ياباني ، فإنني أريد الباقي به .
Aswan	Egyptian	انا متاكد انا حطيته في شنطتي.	هل يمكن أن تكسر هذه ، من فضلك ؟
Cairo	Egyptian	زميلي، مستر . تاكيمي، أقترح اني اكلمك . هو واحد من العيانين بتوعك .	زميلي في العمل , السيد تاكيمي , اقترح علي أن أدعوك . إنه أحد مرضاك .
Cairo	Egyptian	لو سمحت قوللي اسرع طريقة اروح بيها سان فرانسيسكو .	من فضلك أخبرني بأسرع طريقة للوصول إلى سان فرنسيسكو .
Cairo	Egyptian	ممكن تستناني هنا؟	هل يمكنك انتظاري هنا ؟
Doha	Emirati	انا صج، آسف.	أنا حقا آسف .
Cairo	Egyptian	تلاقي الحماسه كلها قي كرة قدم الجامعات الامريكية .	في كليات أمريكا كرة البيسبول هي اللعبة الأكثر شعبية .
Aswan	Egyptian	هو دايما بيشتري من شارع بوند.	طوارئ .
Doha	Emirati	شلون تبغي الفلوس؟ لو سمحت ملي هالورقة ووقع هني.	كيف تريد النقود ؟ من فضلك املأ هذه الورقة ووقع هنا .
Cairo	Egyptian	إيه رقم البوابة بتاع الخطوط الجوية اليابانية اللي رايح طوكيو؟	ما هو رقم بوابة الدخول لرحلات الخطوط اليابانية إلى طوكيو ؟
Doha	Emirati	انا على الشارع آي ثمانين يم طلعة بيركيلي.	أنا على الطريق السريع الأول ثمانين بالقرب من مخرج بيركيلي .
Cairo	Egyptian	سندوتشين سوسيس حأخدهم معايا .	اثنان من الـ هوت دوج لكي أمشي .
Cairo	Egyptian	فيه صندوق تليفون قدام البنك ده .	يوجد صندوق للهاتف أمام هذا المصرف .
Doha	Emirati	ماقدر اسحب السيفون.	لا يسعني تشغيل غاسل المرحاض .
Aswan	Egyptian	كنت عايز حامل ثلاثي.	لماذا , شكرا جزيلا . هل أستطيع الارتقاء للقمة ؟
Cairo	Egyptian	بأدور على خيط .	أبحث عن خيط .
Aswan	Egyptian	خد فلوس أقلام الحبر. فاتورة بمية دولار.	كيف أضعها ؟ من المهم جداً أن تكون هناك .
Salt	Jordanian	بقدر اخذ اسمك لو سمحت؟	لا تقلق . اتصلت بواحد من محطة الإطفاء .
Doha	Emirati	الصيف هني زوين.	أقول أن الصيف هنا ليس سيئاً جيدا .
Cairo	Egyptian	إحنا حنوصل الساعة عشرة. ده قبل المعاد المتحدد بشوية.	سنصل في العاشرة . قبل الموعد بقليل .
Doha	Emirati	بوكي، وجوازي واغراض شخصية ثانية.	محفظتي , جواز السفر ومتعلقات شخصية أخرى .
Doha	Emirati	اوكي، يا اخوي. لو سمحت بس سكر وانا بخبرك لما احول المكالمة.	حسناً سيدي . من فضلك ضع السماعة وسأدعك تعرف متى قمت بإيصال المكالمة .
Salt	Jordanian	اسف، احنا ما بنبيع تذاكر للمسرح.	لاحظ الفجوة ، لاحظ الفجوة ، ثم قرب الأبواب ، من فضلك .
Alexandria	Egyptian	لو سمحت. أنا طالب جامعى من اليابان. إنتوا طلاب جامعة نيويورك؟	لقد ساعدت حقيقةً .
Salt	Jordanian	حسب اذا المكان دافي، بس بنص اليابان، بشهر اربعة .	إنها خمسة دولارات .
Cairo	Egyptian	فين لوحات مونيه؟	أين رسومات مونيت ؟
Cairo	Egyptian	عايز قلم جاف من فضلك .	أريد قلماً حبراً ، من فضلك .
Salt	Jordanian	اتوقع انو في اخطاء بالفاتورة .	كم تزيد تذكرة الدرجة الأولى عن تذكرة الدرجة الثانية ؟
Aswan	Egyptian	شاملة كل مصاريف الممواصلات؟	فترة الاستراحة ثلاثين دقيقة . يمكنك أن تأكل وجبة خفيفة في الحانة التي تقدم أطعمة خفيفة بالدور الأول ؟
Salt	Jordanian	انا مريض .	هل يجب أن ندفع للمشروبات ؟
Doha	Emirati	دورت الجواز في الغرفة كلها.	لقد بحثت في كل أجزاء الغرفة لأجد جواز السفر المفقود .
Jerusalem	Palestinian	بس سياحة.	أريد بعض الجل المصفف للشعر .
Amman	Jordanian	أكيد. امشي دغري ولف يمين من الدخلة التالتة. راح تلاقيه على يمينك.	إنهم في السينما حتى وقتنا هذا .
Doha	Emirati	بغيت حفاضات.	أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال .
Doha	Emirati	خمسين سنت للكلمة. أغلى من اللي توقعته.	خمسون سنتاً للكلمة . إنه أغلى مما توقعت .
Doha	Emirati	ست ونص اليوم، بس عادةً خمس ونص.	ستة وثلاثين دقيقة اليوم ، ولكن عادة في الخامسة وثلاثين دقيقة .
Doha	Emirati	ممكن طاولة؟	هل يمكنني حجز مائدة ؟
Amman	Jordanian	اشتريت بطارية خربانة.	طلبي لم يأت .
Cairo	Egyptian	معاك محضر البولبس، مش كده؟ ايه ارقام الشيك بتاعك؟	عندكم تقرير للشرطة ، أليس كذلك ؟ ما هي أرقام شيكاتك ؟
Doha	Emirati	يصير تقول لي شلون اروح ذاك المطعم؟	هل لك أن تخبرنى كيف أذهب لذلك المطعم ؟
Doha	Emirati	في مطاعم زينة ورخيصة هني؟	هل هناك مطاعم رخيصة وجيدة قريبة من هنا ؟
Salt	Jordanian	بتقدر تصلح هاد؟	حسنا . أين زر مصراع هذه الكاميرا ؟
Salt	Jordanian	احنا مهتمين بالازياء .	هل هي صناعة يدوية ؟
Doha	Emirati	ماقدر اتفاهم مع اللي ساكن معاي في الغرفة. يدخن طول الوقت. ماقدر اتحمل.	يبدو أنني لا يسعني الاستمرار مع زميلي في الغرفة . إنه دائم التدخين . لا يسعني تحمل ذلك .
Aswan	Egyptian	ممكن أخد جدول المواعيد، لو سمحت؟	أريد بعض السماعات ، من فضلك .
Amman	Jordanian	لما أرجع على اليابان، راح أكتب رسالة. إذا عندك وقت، لو سمحت إبعتلي رسالة.	هل نظرت إلى المشتبه فيه جيداً ؟
Doha	Emirati	انا طلبت برقر سمج، بس مافي سمج في البرقر.	أعتقد أني طلبت برجر سمك ، لكن ليس هناك سمك في البرجر .
Aswan	Egyptian	كنت عاوز تاكسي. أنا عند ساوث مين ولايبرتي.	هل هذا هو الرصيف الصحيح لنيويورك .
Doha	Emirati	اوه، مسامحة، ثاني باب على اليسار.	أرجو المعذرة . إنها الباب الثاني من جهة اليسار .
Doha	Emirati	صادتني رضة.	أصبت بكدمة .
Doha	Emirati	مافي صابون.	لا يوجد صابون .
Cairo	Egyptian	بادور على ده.	إنني أبحث عن هذا .
Doha	Emirati	ممكن تشرح لي هذي بتفصيل اكثر؟	هلا تفضلت بشرح هذا على نحو أكثر تفصيلا ؟
Doha	Emirati	لا، برد اتصل له.	لا ، سوف أتصل للرد عليه .
Cairo	Egyptian	المطار ده حلو جدا. انت فخور بيه، اعتقد.	هذا المطار جميل للغاية . أتصور أنك فخور به .
Cairo	Egyptian	عندك مجموعات علب عشان أبعت طرود؟	هل ليدكم صناديق لإرسال الطرود ؟
Doha	Emirati	اكيد. انزل من الدرج هناك وبتشوف ارشادات، اتبعهم.	بالتأكيد ، انزل من على الدرج هناك وسوف تجد بعض الإرشادات فاتبعها من فضلك .
Doha	Emirati	بخبرك اول ما اوصل هناك.	سأخبرك بمجرد وصولي إلى هناك .
Cairo	Egyptian	مش عارف أشغل التكييف .	لا أستطيع تشغيل التكييف .
Doha	Emirati	لو سمحت روح الكشك الخامس.	من فضلك ، اذهب إلى النافذة الخامسة .
Doha	Emirati	اوكي، قول حق ولدك ان عندنا جاز في شارع بوربون، وفي النوادي في كل مكان. حقك، شرايك في رحلة من هذيلا؟	حسنا ، أبلغ ابنك أن عندنا موسيقي الجاز في شارع بوبورن , وفي الأندية في كل مكان . أما بالنسبة لك , ماذا عن إحدى هذه الرحلات البحرية ؟
Doha	Emirati	ابغي مسباح.	أريد سبحة .
Doha	Emirati	أي باص آخذ حق اروح الهايد بارك؟	أي حافلة أركبها إلى هايد بارك ؟
Cairo	Egyptian	أزيك، فين الكابينه بتاعتنا، من فضلط؟ ممكن تدلنا عليها؟	مرحباً ، أين حجرتنا الخاصة ، من فضلك ؟ هلا وجهتنا إليها ؟
Cairo	Egyptian	امتى تخلص المسرحية؟	متى ينتهي العرض ؟
Doha	Emirati	ممكن توصلني لرفيجي؟	هل يمكنك أن تصلني بصديقي ؟
Jerusalem	Palestinian	يلعن. يلعن. يلعن. يلعن. اتعودنا على وجهها.	يستطيع الصرافون أن يغيروا دولاراتك من أجل بقشيش الكازينو . هل نذهب ؟
Doha	Emirati	وين اقدر املي الوصفة؟	أين يمكنني أن أملأ هذه الروشتة ؟
Cairo	Egyptian	بعتذر . للأسف مفروض هتخليه معاك .	أنا آسف ، لكنّي أخشى أنّك سوف يجب عليك أن تبقيه بنفسك .
Jerusalem	Palestinian	الساعة احداعش و خمسة و أربعين دقيقة الصبح.	أنما أنا مبتدئ . أعتقد أني لا أستطيع عمل ذلك .
Cairo	Egyptian	جيت من البرتغال .	أنا من البرتغال .
Cairo	Egyptian	فين ممكن ألاقي عربية ليموزين لفندق سامت؟	أين يمكنني أن أجد ليموزين إلى فندق سميت .
